id,name,city,country,surface,code,start_date,end_date,season,country_code
1220,Australian Open,Melbourne,Australia,Hard Outdoor,WTA,2020-01-20,2020-02-02,2020,AUS
1221,St. Petersburg Ladies Trophy,St. Petersburg,Russia,Hard Indoor,WTA,2020-02-10,2020-02-16,2020,False
1222,GSB Thailand Open presented by E@,Hua Hin,Thailand,Hard Outdoor,WTA,2020-02-10,2020-02-16,2020,THA
1223,Dubai Duty Free Tennis Championships,Dubai,United Arab Emirates,Hard Outdoor,WTA,2020-02-17,2020-02-22,2020,ARE
1224,Qatar Total Open 2020,Doha,Qatar,Hard Outdoor,WTA,2020-02-23,2020-02-29,2020,QAT
1225,Abierto Mexicano TELCEL presentado por HSBC,Acapulco,Mexico,Hard Outdoor,WTA,2020-02-24,2020-02-29,2020,MEX
1227,"Open 6ème Sens – Métropole de Lyon, France",Lyon,France,Hard Indoor,WTA,2020-03-02,2020-03-08,2020,FRA
1226,Abierto GNP Seguros,Monterrey,Mexico,Hard Outdoor,WTA,2020-03-02,2020-03-08,2020,MEX
1228,BNP Paribas Open,Indian Wells,"United States, Ca",Hard Outdoor,WTA,2020-03-11,2020-03-22,2020,False
1229,Miami Open presented by Itau,Miami,"United States, Fl",Hard Outdoor,WTA,2020-03-24,2020-04-04,2020,False
1230,Copa Colsanitas presentado por Claro,Bogota,Colombia,Clay Outdoor,WTA,2020-04-06,2020-04-12,2020,COL
1231,Volvo Car Open,Charleston,"United States, Sc",Clay Outdoor,WTA,2020-04-06,2020-04-12,2020,False
1233,Porsche Tennis Grand Prix,Stuttgart,Germany,Clay Indoor,WTA,2020-04-20,2020-04-26,2020,DEU
1235,Grand Prix De SAR La Princesse Lalla Meryem,Rabat,Morocco,Clay Outdoor,WTA,2020-05-17,2020-05-23,2020,MAR
1241,Nature Valley Open,Nottingham,Great Britain,Grass Outdoor,WTA,2020-06-08,2020-06-14,2020,False
1240,Libema Open,'s-hertogenbosch,Netherlands,Grass Outdoor,WTA,2020-06-08,2020-06-14,2020,NLD
1243,Nature Valley Classic,Birmingham,Great Britain,Grass Outdoor,WTA,2020-06-15,2020-06-21,2020,False
1242,bett1open,Berlin,Germany,Grass Outdoor,WTA,2020-06-15,2020-06-21,2020,DEU
1244,Nature Valley International,Eastbourne,Great Britain,Grass Outdoor,WTA,2020-06-21,2020-06-27,2020,False
1245,Bad Homburg Open,Bad Homburg,Germany,Grass Outdoor,WTA,2020-06-21,2020-06-27,2020,DEU
1246,"The Championships, Wimbledon",Wimbledon,Great Britain,Grass Outdoor,WTA,2020-06-29,2020-07-11,2020,False
1247,BRD Bucharest Open,Bucharest,Romania,Clay Outdoor,WTA,2020-07-13,2020-07-19,2020,ROU
1248,Ladies Open Lausanne,Lausanne,Switzerland,Clay Outdoor,WTA,2020-07-13,2020-07-19,2020,CHE
1250,Baltic Open,Jurmala,Latvia,Clay Outdoor,WTA,2020-07-20,2020-07-26,2020,LVA
1252,Mubadala Silicon Valley Classic,San Jose,"United States, Ca",Hard Outdoor,WTA,2020-08-03,2020-08-09,2020,False
1251,Citi Open,Washington Dc,"United States, Dc",Hard Outdoor,WTA,2020-08-03,2020-08-09,2020,False
1249,31st Palermo Ladies Open,Palermo,Italy,Clay Outdoor,WTA,2020-08-03,2020-08-09,2020,ITA
1272,The Top Seed Open presented by Bluegrass Orthopaedics,Lexington,"United States, Ky",Hard Outdoor,WTA,2020-08-10,2020-08-16,2020,False
1253,Rogers Cup presented by National Bank,Montreal,Canada,Hard Outdoor,WTA,2020-08-10,2020-08-16,2020,CAN
1234,Prague Open,Prague,Czech Republic,Clay Outdoor,WTA,2020-08-10,2020-08-16,2020,CZE
1254,Western & Southern Open,New York,"United States, Ny",Hard Outdoor,WTA,2020-08-21,2020-08-29,2020,False
1255,Albany Open,Albany,"United States, Ny",Hard Outdoor,WTA,2020-08-23,2020-08-29,2020,False
1256,US Open,New York,"United States, Ny",Hard Outdoor,WTA,2020-08-31,2020-09-13,2020,False
1232,TEB BNP Paribas Tennis Championship Istanbul,Istanbul,Turkey,Clay Outdoor,WTA,2020-09-08,2020-09-13,2020,TUR
1236,Mutua Madrid Open,Madrid,Spain,Clay Outdoor,WTA,2020-09-14,2020-09-20,2020,ESP
1237,Internazionali BNL d'Italia,Rome,Italy,Clay Outdoor,WTA,2020-09-14,2020-09-21,2020,ITA
1257,Hana-cupid Japan Women's Open,Hiroshima,Japan,Hard Outdoor,WTA,2020-09-14,2020-09-20,2020,JPN
1238,Internationaux de Strasbourg,Strasbourg,France,Clay Outdoor,WTA,2020-09-20,2020-09-26,2020,FRA
1239,Roland Garros,Paris,France,Clay Outdoor,WTA,2020-09-27,2020-10-10,2020,FRA
1261,Hana Bank Korea Open,Seoul,Korea,Hard Outdoor,WTA,2020-10-06,2020-10-11,2020,False
1264,China Open,Beijing,China,Hard Outdoor,WTA,2020-10-12,2020-10-18,2020,CHN
1265,Tianjin Open,Tianjin,China,Hard Outdoor,WTA,2020-10-12,2020-10-18,2020,CHN
1267,Prudential Hong Kong Tennis Open,Hong Kong,China,Hard Outdoor,WTA,2020-10-12,2020-10-18,2020,CHN
1258,Jiangxi Open,Nanchang,China,Hard Outdoor,WTA,2020-10-19,2020-10-25,2020,CHN
1263,Dongfeng Motor Wuhan Open,Wuhan,China,Hard Outdoor,WTA,2020-10-19,2020-10-25,2020,CHN
1268,BGL BNP Paribas Luxembourg Open,Luxembourg,Luxembourg,Hard Indoor,WTA,2020-10-19,2020-10-25,2020,LUX
1277,J & T Banka Ostrava Open 2020,Ostrava,Czech Republic,Hard Indoor,WTA,2020-10-19,2020-10-25,2020,CZE
1259,Zhengzhou Open,Zhengzhou,China,Hard Outdoor,WTA,2020-10-26,2020-11-01,2020,CHN
1269,VTB Kremlin Cup,Moscow,Russia,Hard Indoor,WTA,2020-10-26,2020-11-01,2020,False
1262,Toray Pan Pacific Open,Tokyo,Japan,Hard Indoor,WTA,2020-11-02,2020-11-07,2020,JPN
1271,Shiseido WTA Finals Shenzhen,Shenzhen,China,Hard Indoor,WTA,2020-11-08,2020-11-15,2020,CHN
1266,Upper Austria Ladies Linz,Linz,Austria,Hard Indoor,WTA,2020-11-09,2020-11-15,2020,AUT
1270,Hengqin Life WTA Elite Trophy Zhuhai,Zhuhai,China,Hard Outdoor,WTA,2020-11-17,2020-11-22,2020,CHN
1260,Guangzhou Open,Guangzhou,China,Hard Outdoor,WTA,2020-11-23,2020-11-29,2020,CHN
1279,Abu Dhabi WTA Women's Tennis Open,Abu Dhabi,UAE,Hard Outdoor,WTA,2021-01-06,2021-01-13,2021,False
1280,Yarra Valley Classic,Melbourne,Australia,Hard Outdoor,WTA,2021-01-31,2021-02-06,2021,AUS
1281,Gippsland Trophy,Melbourne,Australia,Hard Outdoor,WTA,2021-01-31,2021-02-06,2021,AUS
1318,Grampians Trophy,Melbourne,Australia,Hard Outdoor,WTA,2021-02-03,2021-02-07,2021,AUS
1282,Australian Open,Melbourne,Australia,Hard Outdoor,WTA,2021-02-08,2021-02-20,2021,AUS
1284,Phillip Island Trophy,Melbourne,Australia,Hard Outdoor,WTA,2021-02-13,2021-02-19,2021,AUS
1291,Adelaide International,Adelaide,Australia,Hard Outdoor,WTA,2021-02-22,2021-02-27,2021,AUS
1292,Qatar Total Open 2021,Doha,Qatar,Hard Outdoor,WTA,2021-03-01,2021-03-06,2021,QAT
1293,Open 6ème Sens Métropole de Lyon,Lyon,France,Hard Indoor,WTA,2021-03-01,2021-03-07,2021,FRA
1294,Dubai Duty Free Tennis Championships 2021,Dubai,UAE,Hard Outdoor,WTA,2021-03-07,2021-03-13,2021,False
1295,Abierto Zapopan 2021,Guadalajara,Mexico,Hard Outdoor,WTA,2021-03-08,2021-03-13,2021,MEX
1297,Abierto GNP Seguros,Monterrey,Mexico,Hard Outdoor,WTA,2021-03-15,2021-03-21,2021,MEX
1298,St. Petersburg Ladies Trophy,St. Petersburg,Russia,Hard Indoor,WTA,2021-03-15,2021-03-21,2021,False
1299,Miami Open presented by Itaú,Miami,USA,Hard Outdoor,WTA,2021-03-23,2021-04-03,2021,USA
1300,Credit One Charleston Open,Charleston,USA,Clay Outdoor,WTA,2021-04-05,2021-04-11,2021,USA
1301,Copa Colsanitas,Bogota,Colombia,Clay Outdoor,WTA,2021-04-05,2021-04-11,2021,COL
1302,Kunming Open,Anning,China,Clay Outdoor,WTA,2021-04-12,2021-04-18,2021,CHN
1386,MUSC Health Women's Open,Charleston,USA,Clay Outdoor,WTA,2021-04-12,2021-04-18,2021,USA
1303,TEB BNP Paribas Tennis Championship Istanbul,Istanbul,Turkey,Clay Outdoor,WTA,2021-04-19,2021-04-25,2021,TUR
1304,Porsche Tennis Grand Prix,Stuttgart,Germany,Clay Indoor,WTA,2021-04-19,2021-04-25,2021,DEU
1305,Mutua Madrid Open,Madrid,Spain,Clay Outdoor,WTA,2021-04-29,2021-05-08,2021,ESP
1387,L'Open 35 de Saint-Malo,Saint-malo,France,Clay Outdoor,WTA,2021-05-03,2021-05-09,2021,FRA
1306,Internazionali BNL d'Italia,Rome,Italy,Clay Outdoor,WTA,2021-05-10,2021-05-16,2021,ITA
1309,COLOGNE OPEN,Cologne,Germany,Clay Outdoor,WTA,2021-05-16,2021-05-22,2021,DEU
1406,Emilia-Romagna Open,Parma,Italy,Clay Outdoor,WTA,2021-05-16,2021-05-22,2021,ITA
1389,Serbia Ladies Open,Belgrade,Serbia,Clay Outdoor,WTA,2021-05-16,2021-05-22,2021,SRB
1307,Grand Prix De Son Altesse Royale La Princesse Lalla Meryem,Rabat,Morocco,Clay Outdoor,WTA,2021-05-16,2021-05-22,2021,MAR
1308,Internationaux de Strasbourg,Strasbourg,France,Clay Outdoor,WTA,2021-05-23,2021-05-29,2021,FRA
1310,Roland Garros,Paris,France,Clay Outdoor,WTA,2021-05-30,2021-06-12,2021,FRA
1311,Viking Open Nottingham,Nottingham,Great Britain,Grass Outdoor,WTA,2021-06-06,2021-06-13,2021,False
1312,Libema Open,'s-hertogenbosch,Netherlands,Grass Outdoor,WTA,2021-06-07,2021-06-13,2021,NLD
1390,,Bol,Croatia,Clay Outdoor,WTA,2021-06-07,2021-06-12,2021,HRV
1314,bett1open,Berlin,Germany,Grass Outdoor,WTA,2021-06-14,2021-06-20,2021,DEU
1313,Viking Classic Birmingham,Birmingham,Great Britain,Grass Outdoor,WTA,2021-06-14,2021-06-20,2021,False
1315,Bad Homburg Open presented by Engel & Volkers,Bad Homburg,Germany,Grass Outdoor,WTA,2021-06-21,2021-06-26,2021,DEU
1316,Viking International Eastbourne,Eastbourne,Great Britan,Grass Outdoor,WTA,2021-06-21,2021-06-26,2021,False
1317,The Championships,Wimbledon,Great Britain,Grass Outdoor,WTA,2021-06-28,2021-07-10,2021,False
1391,Nordea Open,Bastad,Sweden,Clay Outdoor,WTA,2021-07-05,2021-07-10,2021,SWE
1407,Hamburg European Open,Hamburg,Germany,Clay Outdoor,WTA,2021-07-06,2021-07-11,2021,DEU
1392,Livesport Prague Open 2021,Prague,Czech Republic,Hard Outdoor,WTA,2021-07-12,2021-07-18,2021,CZE
1394,Hungarian Grand Prix,Budapest,Hungary,Clay Outdoor,WTA,2021-07-12,2021-07-18,2021,HUN
1393,Ladies Open Lausanne 2021,Lausanne,Switzerland,Clay Outdoor,WTA,2021-07-12,2021-07-18,2021,CHE
1395,32nd Palermo Ladies Open,Palermo,Italy,Clay Outdoor,WTA,2021-07-19,2021-07-25,2021,ITA
1396,BNP Paribas Poland Open,Gdynia,Poland,Clay Outdoor,WTA,2021-07-19,2021-07-25,2021,POL
1413,OLYMPICS TENNIS EVENT,Tokyo,Japan,Hard Outdoor,WTA,2021-07-24,2021-08-01,2021,JPN
1397,LTP Women's Open,Charleston,USA,Clay Outdoor,WTA,2021-07-26,2021-08-01,2021,USA
1398,Belgrade Ladies Open,Belgrade,Serbia,Clay Outdoor,WTA,2021-07-26,2021-07-31,2021,SRB
1399,Mubadala Silicon Valley Classic,San Jose,USA,Hard Outdoor,WTA,2021-08-02,2021-08-08,2021,USA
1408,Winners Open 2021,Cluj-napoca,Romania,Clay Outdoor,WTA,2021-08-02,2021-08-08,2021,ROU
1409,Thoreau Tennis Open 125,Concord,USA,Hard Outdoor,WTA,2021-08-02,2021-08-08,2021,USA
1400,National Bank Open,Montreal,Canada,Hard Outdoor,WTA,2021-08-09,2021-08-15,2021,CAN
1401,WTA Chicago 125,Chicago,USA,Hard Outdoor,WTA,2021-08-16,2021-08-22,2021,USA
1402,Western & Southern Open,Cincinnati,USA,Hard Outdoor,WTA,2021-08-16,2021-08-22,2021,USA
1403,Tennis in the Land,Cleveland,USA,Hard Outdoor,WTA,2021-08-22,2021-08-28,2021,USA
1412,WTA Chicago Women's Open,Chicago,USA,Hard Outdoor,WTA,2021-08-22,2021-08-28,2021,USA
1404,US Open,New York,USA,Hard Outdoor,WTA,2021-08-30,2021-09-11,2021,USA
1405,Liqui Moly Open 2021,Karlsruhe,Germany,Clay Outdoor,WTA,2021-09-07,2021-09-12,2021,DEU
1415,Zavarovalnica Sava Portoroz,Portoroz,Slovenia,Hard Outdoor,WTA,2021-09-13,2021-09-19,2021,SVN
1414,BGL BNP Paribas Luxembourg Open 2021,Luxembourg,Luxembourg,Hard Indoor,WTA,2021-09-13,2021-09-19,2021,LUX
1426,Columbus WTA 125,Columbus,USA,Hard Indoor,WTA,2021-09-19,2021-09-26,2021,USA
1416,J&T Banka Ostrava Open 2021,Ostrava,Czech Republic,Hard Indoor,WTA,2021-09-20,2021-09-26,2021,CZE
1427,Astana Open,Nur-sultan,Kazakhstan,Hard Indoor,WTA,2021-09-27,2021-10-02,2021,KAZ
1418,Chicago Fall Tennis Classic,Chicago,USA,Hard Outdoor,WTA,2021-09-27,2021-10-03,2021,USA
1296,BNP Paribas Open,Indian Wells,USA,Hard Outdoor,WTA,2021-10-06,2021-10-17,2021,USA
1420,VTB Kremlin Cup 2021,Moscow,Russia,Hard Indoor,WTA,2021-10-18,2021-10-24,2021,False
1421,Tenerife Ladies Open,Tenerife,Spain,Hard Outdoor,WTA,2021-10-18,2021-10-24,2021,ESP
1423,Courmayeur Ladies Open 2021,Courmayeur,Italy,Hard Indoor,WTA,2021-10-25,2021-10-31,2021,ITA
1422,Transylvania Open,Cluj-napoca,Romania,Hard Indoor,WTA,2021-10-25,2021-10-31,2021,ROU
1424,Dow Tennis Classic,Midland,USA,Hard Indoor,WTA,2021-11-01,2021-11-07,2021,USA
1425,Argentina Open,,argentina,Clay Outdoor,WTA,2021-11-01,2021-11-07,2021,False
1419,Upper Austria Ladies Linz,Linz,Austria,Hard Indoor,WTA,2021-11-07,2021-11-12,2021,AUT
1431,Akron WTA Finals Guadalajara,Guadalajara,Mexico,Hard Outdoor,WTA,2021-11-10,2021-11-17,2021,MEX
1428,Montevideo Open,Montevideo,Uruguay,Clay Outdoor,WTA,2021-11-15,2021-11-21,2021,URY
1429,Open Angers Arena Loire,Angers,France,Hard Indoor,WTA,2021-12-06,2021-12-12,2021,FRA
1430,Open BLS de Limoges,Limoges,France,Hard Indoor,WTA,2021-12-13,2021-12-19,2021,FRA
1417,Hana Bank Korea Open,Seoul,Korea,Hard Indoor,WTA,2021-12-20,2021-12-26,2021,False
1472,Adelaide International 1,Adelaide,Australia,Hard Outdoor,WTA,2022-01-03,2022-01-09,2022,AUS
1473,Melbourne Summer Set 1,Melbourne,Australia,Hard Outdoor,WTA,2022-01-04,2022-01-09,2022,AUS
1474,Melbourne Summer Set 2,Melbourne,Australia,Hard Outdoor,WTA,2022-01-04,2022-01-09,2022,AUS
1475,Adelaide International 2,Adelaide,Australia,Hard Outdoor,WTA,2022-01-10,2022-01-15,2022,AUS
1476,Sydney Tennis Classic,Sydney,Australia,Hard Outdoor,WTA,2022-01-10,2022-01-15,2022,AUS
1477,Australian Open,Melbourne,Australia,Hard Outdoor,WTA,2022-01-17,2022-01-30,2022,AUS
1478,St. Petersburg Ladies Trophy,St. Petersburg,Russia,Hard Indoor,WTA,2022-02-07,2022-02-13,2022,False
1479,Dubai Duty Free Tennis Championships,Dubai,UAE,Hard Outdoor,WTA,2022-02-14,2022-02-19,2022,False
1480,Qatar TotalEnergies Open,Doha,Qatar,Hard Outdoor,WTA,2022-02-20,2022-02-26,2022,QAT
1481,Abierto Akron Zapopan,Guadalajara,Mexico,Hard Outdoor,WTA,2022-02-21,2022-02-27,2022,MEX
1483,Open 6e Sens Métropole de Lyon,Lyon,France,Hard Indoor,WTA,2022-02-28,2022-03-06,2022,FRA
1482,Abierto GNP Seguros 2022,Monterrey,Mexico,Hard Outdoor,WTA,2022-02-28,2022-03-06,2022,MEX
1484,BNP Paribas Open,Indian Wells,USA,Hard Outdoor,WTA,2022-03-09,2022-03-20,2022,USA
1485,Miami Open presented by Itaú,Miami,USA,Hard Outdoor,WTA,2022-03-22,2022-04-03,2022,USA
1515,AnyTech365 Andalucia Open,Marbella,Spain,Clay Outdoor,WTA,2022-03-28,2022-04-03,2022,ESP
1486,Credit One Charleston Open,Charleston,USA,Clay Outdoor,WTA,2022-04-04,2022-04-10,2022,USA
1487,Copa Colsanitas presented by Zurich,Bogota,Colombia,Clay Outdoor,WTA,2022-04-04,2022-04-10,2022,COL
1488,Porsche Tennis Grand Prix,Stuttgart,Germany,Clay Indoor,WTA,2022-04-18,2022-04-24,2022,DEU
1489,TEB BNP Paribas Tennis Championship Istanbul,Istanbul,Turkey,Clay Outdoor,WTA,2022-04-18,2022-04-24,2022,TUR
1490,Mutua Madrid Open,Madrid,Spain,Clay Outdoor,WTA,2022-04-28,2022-05-07,2022,ESP
1516,L' Open 35 de Saint Malo,Saint Malo,France,Clay Outdoor,WTA,2022-05-02,2022-05-08,2022,FRA
1517,Trophee Lagardere,Paris,France,Clay Outdoor,WTA,2022-05-09,2022-05-15,2022,FRA
1491,Internazionali BNL d'Italia,Rome,Italy,Clay Outdoor,WTA,2022-05-09,2022-05-15,2022,ITA
1518,Liqui Moly Open 2022,Karlsruhe,Germany,Clay Outdoor,WTA,2022-05-10,2022-05-15,2022,DEU
1492,Grand Prix Sar La Princesse Lalla Meryem,Rabat,Morocco,Clay Outdoor,WTA,2022-05-15,2022-05-21,2022,MAR
1493,Internationaux de Strasbourg,Strasbourg,France,Clay Outdoor,WTA,2022-05-15,2022-05-21,2022,FRA
1494,Cologne Open,Cologne,Germany,Clay Outdoor,WTA,2022-05-15,2022-05-21,2022,DEU
1495,Roland Garros,Paris,France,Clay Outdoor,WTA,2022-05-22,2022-06-05,2022,FRA
1519,Makarska Open 125,Makarska,Croatia,Clay Outdoor,WTA,2022-05-31,2022-06-05,2022,HRV
1496,Rothesay Open Nottingham,Nottingham,Great Britain,Grass Outdoor,WTA,2022-06-06,2022-06-12,2022,False
1497,Libema Open,S'hertogenbosch,Netherlands,Grass Outdoor,WTA,2022-06-06,2022-06-12,2022,NLD
1520,BBVA Open Internacional de Valencia,Valencia,Spain,Clay Outdoor,WTA,2022-06-06,2022-06-12,2022,ESP
1521,Veneto Open Internazionali Confindustria Venezia e Rovigo,Gaiba,Italy,Grass Outdoor,WTA,2022-06-13,2022-06-19,2022,ITA
1499,bett1open,Berlin,Germany,Grass Outdoor,WTA,2022-06-13,2022-06-19,2022,DEU
1498,Rothesay Classic Birmingham,Birmingham,Great Britain,Grass Outdoor,WTA,2022-06-13,2022-06-19,2022,False
1500,Rothesay International Eastbourne,Eastbourne,Great Britain,Grass Outdoor,WTA,2022-06-19,2022-06-25,2022,False
1501,Bad Homburg Open presented by Engel & Voelkers,Bad Homburg,Germany,Grass Outdoor,WTA,2022-06-19,2022-06-25,2022,DEU
1502,The Championships,Wimbledon,Great Britain,Grass Outdoor,WTA,2022-06-27,2022-07-10,2022,False
1523,Grand Est Open 88,Contrexeville,France,Clay Outdoor,WTA,2022-07-04,2022-07-10,2022,FRA
1522,Nordea Open,Bastad,Sweden,Clay Outdoor,WTA,2022-07-04,2022-07-09,2022,SWE
1504,Ladies Open Lausanne,Lausanne,Switzerland,Clay Outdoor,WTA,2022-07-11,2022-07-17,2022,CHE
1503,Hungarian Grand Prix,Budapest,Hungary,Clay Outdoor,WTA,2022-07-11,2022-07-17,2022,HUN
1505,Hamburg European Open,Hamburg,Germany,Clay Outdoor,WTA,2022-07-17,2022-07-23,2022,DEU
1506,33rd Palermo Ladies Open,Palermo,Italy,Clay Outdoor,WTA,2022-07-18,2022-07-24,2022,ITA
1507,BNP Paribas Poland Open,Warsaw,Poland,Clay Outdoor,WTA,2022-07-25,2022-07-31,2022,POL
1508,Livesport Prague Open 2022,Prague,Czech Republic,Hard Outdoor,WTA,2022-07-25,2022-07-31,2022,CZE
1548,Citi Open,Washington Dc,USA,Hard Outdoor,WTA,2022-08-01,2022-08-07,2022,USA
1509,Mubadala Silicon Valley Classic,San Jose,USA,Hard Outdoor,WTA,2022-08-01,2022-08-07,2022,USA
1524,BCR Iasi Open,Iasi,Romania,Clay Outdoor,WTA,2022-08-01,2022-08-07,2022,ROU
1510,National Bank Open presented by Rogers,Toronto,Canada,Hard Outdoor,WTA,2022-08-08,2022-08-14,2022,CAN
1525,Thoreau Tennis Open 125,Concord,USA,Hard Outdoor,WTA,2022-08-08,2022-08-14,2022,USA
1526,Odlum Brown VanOpen,Vancouver,Canada,Hard Outdoor,WTA,2022-08-14,2022-08-21,2022,CAN
1511,Western & Southern Open,Cincinnati,USA,Hard Outdoor,WTA,2022-08-15,2022-08-21,2022,USA
1513,Championnats Banque Nationale de Granby,Granby,Canada,Hard Outdoor,WTA,2022-08-21,2022-08-27,2022,CAN
1512,Tennis in the Land presented by motorola edge,Cleveland,USA,Hard Outdoor,WTA,2022-08-21,2022-08-27,2022,USA
1514,US Open,New York,USA,Hard Outdoor,WTA,2022-08-29,2022-09-11,2022,USA
1549,Open delle Puglie,Bari,Italy,Clay Outdoor,WTA,2022-09-05,2022-09-11,2022,ITA
1527,WTA Zavarovalnica Sava Portoroz,Portoroz,Slovenia,Hard Outdoor,WTA,2022-09-12,2022-09-18,2022,SVN
1551,Tiriac Foundation Trophy,Bucharest,Romania,Clay Outdoor,WTA,2022-09-12,2022-09-18,2022,ROU
1550,Chennai Open,Chennai,India,Hard Outdoor,WTA,2022-09-12,2022-09-18,2022,IND
1537,Japan Women's Open,Osaka,Japan,Hard Outdoor,WTA,2022-09-12,2022-09-18,2022,JPN
1528,Budapest Open 125,Budapest,Hungary,Clay Outdoor,WTA,2022-09-19,2022-09-24,2022,HUN
1539,Hana Bank Korea Open,Seoul,Korea,Hard Outdoor,WTA,2022-09-19,2022-09-25,2022,False
1538,Toray Pan Pacific Open Tennis,Tokyo,Japan,Hard Outdoor,WTA,2022-09-19,2022-09-25,2022,JPN
1540,Parma Ladies Open,Parma,Italy,Clay Outdoor,WTA,2022-09-26,2022-10-01,2022,ITA
1541,Tallinn Open,Tallinn,Estonia,Hard Indoor,WTA,2022-09-26,2022-10-02,2022,EST
1542,Jasmin Open Monastir,Monastir,Tunisia,Hard Outdoor,WTA,2022-10-03,2022-10-09,2022,TUN
1543,AGEL Open 2022,Ostrava,Czech Republic,Hard Indoor,WTA,2022-10-03,2022-10-09,2022,CZE
1544,Transylvania Open by Verdino,Cluj-napoca,Romania,Hard Indoor,WTA,2022-10-10,2022-10-16,2022,ROU
1545,San Diego Open,San Diego,USA,Hard Outdoor,WTA,2022-10-10,2022-10-16,2022,USA
1534,Open Capfinances Rouen Metropole,Rouen,France,Hard Indoor,WTA,2022-10-17,2022-10-23,2022,FRA
1546,Guadalajara Open Akron,Guadalajara,Mexico,Hard Outdoor,WTA,2022-10-17,2022-10-23,2022,MEX
1529,Abierto Tampico,Tampico,Mexico,Hard Outdoor,WTA,2022-10-24,2022-10-29,2022,MEX
1531,Dow Tennis Classic,Midland,USA,Hard Indoor,WTA,2022-10-31,2022-11-06,2022,USA
1530,Puerto Vallarta Open,Puerto Vallarta,Mexico,Hard Outdoor,WTA,2022-10-31,2022-11-06,2022,MEX
1588,WTA Finals Fort Worth,Fort Worth,USA,Hard Indoor,WTA,2022-10-31,2022-11-07,2022,USA
1547,LP Open by IND,Colina,Chile,Clay Outdoor,WTA,2022-11-07,2022-11-13,2022,CHL
1532,Argentina Open,Buenos Aires,Argentina,Clay Outdoor,WTA,2022-11-15,2022-11-20,2022,ARG
1533,Montevideo Open,Montevideo,Uruguay,Clay Outdoor,WTA,2022-11-21,2022-11-27,2022,URY
1589,Crèdit Andorrà Open,Andorra,Andorra,Hard Indoor,WTA,2022-11-28,2022-12-04,2022,AND
1535,Open P2i Angers Arena Loire,Angers,France,Hard Indoor,WTA,2022-12-05,2022-12-11,2022,FRA
1536,Open BLS de Limoges,Limoges,France,Hard Indoor,WTA,2022-12-11,2022-12-17,2022,FRA
1590,United Cup,,australia,Hard Outdoor,WTA,2022-12-29,2023-01-08,2022,False
